Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status,Product_Category_1,Product_Category_2,Product_Category_3,cluster
M,46-50,7,B,2,1,1,11.0,0.0,4
M,26-35,17,C,0,0,3,5.0,0.0,1
F,36-45,1,B,4+,1,5,14.0,0.0,3
F,36-45,1,B,4+,1,4,9.0,0.0,3
F,26-35,1,C,1,0,4,5.0,12.0,1
M,46-50,1,C,3,1,2,3.0,15.0,4
M,46-50,1,C,3,1,1,11.0,15.0,4
M,46-50,1,C,3,1,2,4.0,9.0,4
M,26-35,7,A,1,0,10,13.0,16.0,1
M,18-25,15,A,4+,0,5,14.0,0.0,2
M,26-35,7,B,2,1,1,2.0,15.0,1
M,26-35,7,B,2,1,5,0.0,0.0,1
M,26-35,7,B,2,1,5,8.0,14.0,1
M,26-35,7,B,2,1,5,8.0,0.0,1
F,26-35,1,C,2,1,10,15.0,16.0,1
M,36-45,7,C,1,0,2,17.0,0.0,6
M,46-50,3,A,1,1,15,0.0,0.0,4
M,46-50,3,A,1,1,5,8.0,14.0,4
F,18-25,0,A,0,0,5,8.0,0.0,2
M,46-50,1,C,4+,1,2,3.0,4.0,4
M,26-35,3,B,0,0,5,0.0,0.0,1
M,26-35,3,B,0,0,1,2.0,3.0,1
M,26-35,8,C,0,1,1,2.0,15.0,1
F,46-50,16,A,1,1,1,2.0,14.0,4
F,46-50,16,A,1,1,5,0.0,0.0,4
F,46-50,16,A,1,1,5,12.0,0.0,4
M,26-35,4,B,3,1,1,2.0,5.0,1
M,26-35,4,B,3,1,1,2.0,4.0,1
M,26-35,0,B,1,0,1,14.0,16.0,1
M,26-35,0,B,1,0,1,15.0,16.0,1
M,26-35,0,B,1,0,5,16.0,0.0,1
M,26-35,0,B,1,0,5,11.0,0.0,1
M,26-35,0,B,1,0,5,9.0,0.0,1
F,51-55,1,B,4+,1,1,6.0,8.0,0
F,36-45,3,A,1,0,18,0.0,0.0,6
M,18-25,4,C,2,0,5,16.0,0.0,2
M,18-25,4,C,2,0,8,0.0,0.0,2
M,36-45,12,C,2,1,3,4.0,5.0,6
M,18-25,4,A,0,0,3,4.0,5.0,2
F,26-35,1,A,1,0,8,14.0,0.0,1
M,18-25,4,A,4+,0,1,2.0,5.0,2
F,46-50,1,C,0,1,3,4.0,12.0,4
M,55+,1,C,3,1,1,2.0,14.0,5
F,26-35,0,A,1,1,8,17.0,0.0,1
F,26-35,0,A,1,1,5,17.0,0.0,1
M,26-35,17,C,2,1,8,0.0,0.0,1
M,55+,13,C,1,0,18,0.0,0.0,5
F,18-25,4,B,1,0,5,14.0,0.0,2
F,18-25,4,B,1,0,2,5.0,14.0,2
M,26-35,17,C,1,0,8,0.0,0.0,1
F,26-35,16,C,2,1,8,0.0,0.0,1
F,36-45,3,C,3,0,5,13.0,16.0,6
F,36-45,7,C,2,1,5,0.0,0.0,6
M,36-45,17,C,4+,0,1,2.0,5.0,3
M,36-45,17,C,4+,0,1,2.0,0.0,3
M,36-45,17,C,4+,0,1,2.0,15.0,3
M,46-50,7,B,2,1,1,16.0,17.0,4
M,46-50,18,C,4+,0,13,0.0,0.0,4
M,26-35,17,C,2,1,1,16.0,0.0,1
M,26-35,17,A,2,1,1,16.0,0.0,1
M,26-35,17,A,2,1,1,8.0,17.0,1
M,26-35,17,A,2,1,15,0.0,0.0,1
M,26-35,11,C,0,0,8,0.0,0.0,1
M,36-45,9,B,4+,1,1,0.0,0.0,3
M,36-45,9,B,4+,1,1,6.0,8.0,3
M,36-45,9,B,4+,1,2,8.0,0.0,3
M,36-45,9,B,4+,1,2,16.0,0.0,3
M,26-35,11,C,2,0,2,5.0,0.0,1
M,36-45,17,B,3,1,15,0.0,0.0,6
M,36-45,17,B,3,1,1,16.0,0.0,6
M,18-25,4,C,4+,0,5,12.0,0.0,2
M,26-35,17,C,1,0,5,14.0,0.0,1
M,26-35,0,C,3,1,5,6.0,0.0,1
M,26-35,0,C,3,1,1,5.0,0.0,1
M,18-25,2,B,3,0,6,10.0,13.0,2
F,26-35,20,C,2,0,5,0.0,0.0,1
F,26-35,20,C,2,0,1,6.0,8.0,1
F,36-45,20,B,3,1,11,0.0,0.0,6
M,18-25,4,B,4+,0,1,8.0,16.0,2
M,18-25,4,B,4+,0,1,0.0,0.0,2
M,51-55,17,B,3,1,1,5.0,17.0,0
M,51-55,17,B,3,1,8,16.0,0.0,0
M,36-45,7,B,0,1,5,0.0,0.0,6
F,26-35,20,A,1,1,5,14.0,0.0,1
F,26-35,20,A,1,1,5,0.0,0.0,1
M,36-45,16,A,1,0,1,8.0,17.0,6
M,36-45,16,A,1,0,8,0.0,0.0,6
M,36-45,16,A,1,0,6,8.0,15.0,6
M,36-45,16,A,1,0,5,0.0,0.0,6
M,36-45,16,A,1,0,8,17.0,0.0,6
M,55+,7,C,2,1,8,0.0,0.0,5
M,46-50,16,C,4+,1,8,0.0,0.0,4
M,46-50,16,C,4+,1,13,16.0,0.0,4
M,46-50,16,C,4+,1,1,8.0,17.0,4
M,18-25,4,A,1,0,5,0.0,0.0,2
M,18-25,4,A,1,0,8,14.0,0.0,2
M,18-25,4,A,1,0,1,8.0,14.0,2
M,18-25,16,A,1,0,1,15.0,0.0,2
M,18-25,4,B,1,1,8,13.0,15.0,2
M,18-25,4,B,1,1,1,16.0,0.0,2
M,26-35,7,B,3,0,5,0.0,0.0,1
M,26-35,7,B,3,0,1,0.0,0.0,1
M,26-35,7,B,3,0,1,2.0,11.0,1
M,26-35,7,B,3,0,8,0.0,0.0,1
M,26-35,0,B,1,1,6,10.0,0.0,1
M,26-35,0,B,1,1,8,13.0,0.0,1
M,26-35,0,B,1,1,5,8.0,0.0,1
M,26-35,0,B,1,1,8,0.0,0.0,1
F,26-35,2,B,1,0,5,0.0,0.0,1
F,26-35,2,B,1,0,5,12.0,0.0,1
F,26-35,2,B,1,0,12,17.0,0.0,1
F,26-35,2,B,1,0,5,11.0,0.0,1
M,18-25,17,C,1,0,8,0.0,0.0,2
F,46-50,1,B,1,0,8,14.0,0.0,4
F,46-50,1,B,1,0,8,12.0,0.0,4
M,18-25,4,C,1,1,5,0.0,0.0,2
M,18-25,1,B,2,0,6,16.0,0.0,2
M,18-25,1,B,2,0,11,16.0,0.0,2
F,46-50,15,C,1,1,6,8.0,10.0,4
M,26-35,12,B,4+,1,8,14.0,16.0,3
M,26-35,12,B,4+,1,11,0.0,0.0,3
M,26-35,12,B,4+,1,1,8.0,0.0,3
M,26-35,12,B,4+,1,1,2.0,16.0,3
M,26-35,12,A,0,1,5,12.0,0.0,1
M,26-35,12,A,0,1,5,0.0,0.0,1
M,18-25,4,A,3,0,3,4.0,5.0,2
M,18-25,4,A,3,0,11,16.0,0.0,2
M,18-25,4,A,3,0,11,0.0,0.0,2
M,18-25,4,A,3,0,11,13.0,16.0,2
M,26-35,7,B,1,1,6,8.0,15.0,1
M,36-45,12,A,1,0,5,8.0,0.0,6
